STD CURVES INFO: the Pearson's R^2 for N2O HIGH was 0.9993.  File = 20140606_Leak0
STD CURVES INFO: the Pearson's R^2 for N2O LOW was 1.  File = 20140606_Leak0
STD CURVES INFO: the Pearson's R^2 for CO2 HIGH was 0.9991.  File = 20140606_Leak0
STD CURVES INFO: the Pearson's R^2 for CO2 LOW was 1.  File = 20140606_Leak0
STD CURVES INFO: the Pearson's R^2 for CH4 HIGH was 0.976.  File = 20140606_Leak0
STD CURVES INFO: the Pearson's R^2 for CH4 LOW was 1.  File = 20140606_Leak0
AMBIENT VIAL INFO: the CV for N2O was 0.0163.  File = 20140606_Leak0
AMBIENT VIAL INFO: the CV for CO2 was 0.005.  File = 20140606_Leak0
AMBIENT VIAL INFO: the CV for CH4 was 0.0172.  File = 20140606_Leak0
TIME ZERO INFO: the CV for N2O was NA.  File = 20140606_Leak0
TIME ZERO INFO: the CV for CO2 was NA.  File = 20140606_Leak0
TIME ZERO INFO: the CV for CH4 was NA.  File = 20140606_Leak0
